training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;113;144;31;40596;-10;-21
49;2;83;110;26;54180;-16;-10
49;3;123;150;33;50904;-13;-20
49;4;87;118;28;53392;-14;-14
49;5;86;119;32;41276;-11;-21
49;6;68;95;22;55760;-11;-11
49;7;107;131;30;39684;-9;-21
49;8;103;138;31;41120;-10;-21
49;9;119;134;30;50664;-9;-21
49;10;106;132;32;41612;-11;-21
