Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-18.3875,568,20,-0.047463739871979,0.019119021207094,0
2,-21,1808,86,-0.11923271918297,0.017456383809447,2145.1178991795
3,-21.36,595,25,-0.18175252383947,0.017800595074892,5047.8407013416
4,-17.3625,563,20,-0.24600265741348,0.017269527733326,7975.1648442745
5,-20.2125,559,20,-0.28691787457466,0.034651648104191,10931.119163036
6,-15.7734375,882,32,-0.30191461646557,0.034897827267647,13900.719771862
7,-21,1807,86,-0.31138520777225,0.037016086220741,16899.678385973
8,-21.059210526316,1643,76,-0.27793198502064,0.024718726277351,19909.909010172
9,-12.402173913043,554,23,-0.32790268707275,0.029424214139581,22939.618853092
10,-19.589285714286,493,14,-0.43140547662973,0.040308959618211,25973.788203239
11,-17.3875,566,20,-0.42355911284685,0.03875673687458,29014.436220407
12,-14.425925925926,729,27,-0.37147549843788,0.036230552509427,32054.2854774
13,-12.3,569,20,-0.40821820640564,0.03606599791348,35099.126308441
14,-8.554347826087,573,23,-0.45022543692589,0.047203338369727,38136.861510515
15,-14.875,687,22,-0.42852363598347,0.040189081296325,41182.874017715
16,-8.97,647,25,-0.48244062685966,0.036945415109396,44221.490203857
17,-21.368421052632,672,19,-0.48765191411972,0.035779230415821,47265.278861761
18,-7.81,597,25,-0.50453666257858,0.038317348569632,50302.363017797
19,-12.596153846154,755,26,-0.54132361984253,0.034977702558041,53345.915400743
20,-20.516666666667,500,15,-0.54874300312996,0.034060227304697,56382.528666735
21,-17.140625,554,16,-0.58508399951458,0.037577494502068,59421.726590633
22,-9.1195652173913,581,23,-0.51264390897751,0.037798419475555,62458.533436537
23,-12.194444444444,504,18,-0.50770425796509,0.037071759358048,65503.937287807
24,-20.517857142857,528,14,-0.44087818443775,0.0358794843629,68542.928196669
25,-22.038461538462,463,13,-0.41854939472675,0.035565362289548,71586.370691776
26,-21.7,492,15,-0.37197616314888,0.033765547022223,74622.337754726
27,-21.961538461538,444,13,-0.30863987386227,0.037052399717271,77666.558803558
28,-22.7,399,10,-0.30608900702,0.035842268519104,80709.149359703
29,-24.925,396,10,-0.31908070909977,0.037388368692249,83754.154893875
30,-21.795454545455,415,11,-0.33511826062202,0.03828813894093,86794.799460888
31,-23.875,403,10,-0.31773330914974,0.043416036142036,89839.270530939
32,-22.625,391,10,-0.29725316429138,0.037307736651972,92875.915857077
33,-23.875,396,10,-0.27369178593159,0.037329317059368,95919.116505146
34,-20.675,382,10,-0.23598987996578,0.039341125553474,98955.592324972
35,-14.25,392,13,-0.23570065188408,0.0370699272817,102001.58251119
36,-22.7,382,10,-0.22717701399326,0.0369602432549,105041.78489709
37,-18.166666666667,409,12,-0.20643604362011,0.033634546946734,108088.16415405
38,-21.9,389,10,-0.19385940217972,0.040584698152728,111126.96911716
39,-16.613636363636,367,11,-0.17805164909363,0.036598243892659,114174.376688
40,-21.222222222222,367,9,-0.16340972304344,0.0363655543942,117212.66692805
41,-21.916666666667,353,9,-0.13660684776306,0.03570253569819,120277.53845716
42,-22.666666666667,365,9,-0.12664770591259,0.030618733669631,123339.66571617
43,-18.625,364,10,-0.11581337034702,0.035453151194379,126401.14022613
44,-16.675,352,10,-0.13645259201527,0.032029403009452,129460.99070621
45,-19.575,354,10,-0.11208348071575,0.039308571979403,132517.0496223
46,-18.25,352,10,-0.077307417631149,0.034906720773317,135574.30851746
47,-20.5,370,10,-0.067142282962799,0.032025041517802,138640.52359223
48,-20.083333333333,333,9,-0.050315158486366,0.032454478519969,141701.27262425
49,-19.65,354,10,-0.029398714721203,0.032754215477034,144765.86236525
50,-19.555555555556,329,9,-0.061822235167027,0.037998179838527,147825.13783622
51,-21.333333333333,368,9,-0.081514114260674,0.031815447958186,150881.76423216
52,-23,358,9,-0.058856061398983,0.034865049999207,153922.41813803
53,-18.625,344,10,-0.065357940196991,0.035583984130528,156972.89826202
54,-23.111111111111,344,9,-0.081974079191685,0.033413144109771,160014.81617689
55,-19.25,341,9,-0.097408960103989,0.032794755496085,163061.01360178
56,-23.305555555556,333,9,-0.088108561575413,0.03458730529435,166101.79607463
57,-24.375,331,8,-0.099771278560162,0.035198075203225,169148.1457777
58,-22.5,343,9,-0.11109308534861,0.032190475354437,172210.88137054
59,-22.027777777778,346,9,-0.080554970800877,0.032436789471656,175278.51135159
60,-23.4375,334,8,-0.079262801647186,0.029142876271158,178342.54405665
61,-21.25,329,9,-0.082398749470711,0.034636469038203,181408.60506177
62,-23.28125,330,8,-0.063544670343399,0.03176398887625,184469.28358388
63,-22.027777777778,342,9,-0.066933371722698,0.031416806509718,187535.17608976
64,-21.125,326,8,-0.054739053189754,0.030579170981422,190594.06337309
65,-19.833333333333,338,9,-0.05774846214056,0.030011123730801,193661.88482189
66,-22.78125,322,8,-0.081116970300674,0.02639879387524,196724.74574399
67,-19.722222222222,327,9,-0.068454475164413,0.030450439533219,199790.20792198
68,-19.583333333333,326,9,-0.045518710792065,0.029313153597061,202857.40764117
69,-22.4375,325,8,-0.064951929867268,0.028022845759057,205922.43129015
70,-18.75,349,10,-0.043183997392654,0.028989451053552,208987.50090623
71,-20.3,367,10,-0.025602949619293,0.029179670328042,212053.49057627
72,-23.055555555556,328,9,-0.041780498087406,0.030262483103201,215114.73465633
73,-21.59375,326,8,-0.065926621258259,0.026754813395441,218183.40867519
74,-22.875,303,8,-0.062578474581242,0.026043576397933,221227.51655221
75,-22.03125,324,8,-0.073804795444012,0.029437688516453,224292.29700541
76,-22.34375,304,8,-0.067518562853336,0.027564628321677,227351.26816535
77,-21.5,293,8,-0.068931222259998,0.029230595620349,230415.81299853
78,-23.4375,313,8,-0.078792982280254,0.028379039938562,233474.80665731
79,-22.111111111111,318,9,-0.055398044526577,0.029704592891037,236540.2464354
80,-20.34375,311,8,-0.058394014656544,0.026572366565699,239600.92933631
81,-24.34375,312,8,-0.042984465479851,0.029344257420395,242665.77772045
82,-23.65625,311,8,-0.032085248291492,0.026987537696492,245729.7993753
83,-24.09375,309,8,-0.026669816911221,0.028634731254075,248799.43783331
84,-19.055555555556,316,9,-0.023739550888538,0.027961498648685,251859.77453947
85,-20.25,311,8,-0.02610385787487,0.028155951410998,254927.8234973
86,-24.625,302,8,-0.036636304974556,0.029357400156558,257985.59742713
87,-24.055555555556,327,9,-0.041067724645138,0.029178894826677,261037.21990418
88,-22.90625,307,8,-0.023426564395428,0.028285281694261,264102.1203053
89,-24.09375,307,8,-0.02995936101675,0.028055407757871,267167.29295135
90,-19.1875,308,8,-0.037269575536251,0.027009723492898,270228.33542633
91,-17.35,348,10,-0.051642109036446,0.028042263409123,273296.45201826
92,-22.0625,309,8,-0.035263738811016,0.027735443314305,276342.35304213
93,-21.84375,304,8,-0.015153986394405,0.028466824442614,279391.21635818
94,-19.6875,304,8,-0.015177275419235,0.026481435511378,282433.16600633
