Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-23.565789473684,1060,38,-0.067710862189531,0.034837675005198,0
2,-22.15,567,20,-0.15684062993526,0.038721079081297,2135.1606602669
3,-21.365384615385,773,26,-0.25446475175023,0.042217464238405,5015.7156863213
4,-10.5,1810,86,-0.30862446391582,0.046876634538174,7923.8975212574
5,-11.36,556,25,-0.35418861603737,0.043869868814945,10845.98303318
6,-13.795454545455,553,22,-0.35598142755032,0.036427813351154,13779.444419146
7,-14.739130434783,545,23,-0.38907803559303,0.038076591491699,16730.656761169
8,-10.571428571429,1786,84,-0.40729899406433,0.038895908117294,19701.781215191
9,-12.2,1143,50,-0.50314592260122,0.041101832091808,22691.036135197
10,-17.723684210526,1062,38,-0.50624308091402,0.035921704351902,25693.220480204
11,-23.466666666667,906,30,-0.54614569222927,0.045043568909168,28695.295013189
12,-23.625,542,20,-0.60700052964687,0.035269764125347,31699.539398193
13,-13.863636363636,544,22,-0.61513235259056,0.033319144189358,34705.274416924
14,-23.578947368421,503,19,-0.59529578441381,0.031388927638531,37707.174799919
15,-27.769230769231,473,13,-0.58331776094437,0.034846514195204,40709.99874115
16,-23.35,530,20,-0.57454408812523,0.04202400124073,43711.185202837
17,-23.333333333333,547,21,-0.58036920952797,0.035804619640112,46715.193037987
18,-26.153846153846,473,13,-0.55386888027191,0.031593176573515,49718.601107836
19,-23.607142857143,507,14,-0.61488328480721,0.039815872758627,52720.651567936
20,-29.727272727273,454,11,-0.5656794731617,0.039149179130793,55723.797693014
21,-25.791666666667,455,12,-0.54490308320522,0.036643647104502,58725.664307117
22,-24.115384615385,465,13,-0.5066512928009,0.040177868783474,61731.177309275
23,-26.409090909091,417,11,-0.4840882229805,0.039173430681229,64735.67158699
24,-29.045454545455,425,11,-0.45775239634514,0.037823288202286,67730.783874989
25,-27.181818181818,421,11,-0.47300417554379,0.038609686613083,70763.969098806
26,-25.884615384615,458,13,-0.45065103256702,0.038901566147804,73791.41166997
27,-27.35,371,10,-0.50865966272354,0.048145369470119,76837.669150829
28,-28.409090909091,400,11,-0.47566920948029,0.038639131039381,79881.43487668
29,-26.272727272727,413,11,-0.47156949782372,0.044437561452389,82939.544976711
30,-27.7,405,10,-0.44191358315945,0.037687044411898,85980.046920538
31,-27.95,413,10,-0.4227322665453,0.038398827344179,89025.800366402
32,-27.954545454545,403,11,-0.44173110306263,0.036418485343456,92063.302292347
33,-28.75,387,10,-0.43116731095314,0.035739500701427,95107.170580387
34,-27.25,397,10,-0.4147837843895,0.03450074160099,98144.554581642
35,-27.590909090909,383,11,-0.41931443274021,0.034484442532063,101187.45636582
36,-28.083333333333,433,12,-0.41124797463417,0.037311921685934,104224.58697462
37,-28.409090909091,410,11,-0.40026402807236,0.036159102261066,107265.20277381
38,-27.95,392,10,-0.38983296847343,0.037148823037744,110301.78797388
39,-27.5,395,11,-0.38342036378384,0.035200391098857,113344.96769667
40,-26.727272727273,379,11,-0.41330251276493,0.04031700232625,116381.36457777
41,-28.333333333333,357,9,-0.38927046716213,0.033651781499386,119425.28358245
42,-26.318181818182,376,11,-0.38498378384113,0.035465506106615,122464.9944644
43,-28.1,372,10,-0.37079898560047,0.036857142180204,125509.42432022
44,-26.45,351,10,-0.3712386251688,0.034880570158362,128547.34342337
45,-28.8,385,10,-0.35417822515965,0.033587526723742,131589.36552644
46,-26.909090909091,368,11,-0.32902699255943,0.03582143689692,134627.12757063
47,-27.65,362,10,-0.34593545436859,0.036205421105027,137668.57984638
48,-27.05,371,10,-0.31687743508816,0.034691168367863,140704.32613134
49,-27.5,348,10,-0.32036348569393,0.036744026735425,143746.68808866
50,-28.222222222222,337,9,-0.30661095154285,0.032667124561965,146784.51735163
51,-27.15,339,10,-0.28461887812614,0.033706795692444,149827.91408563
52,-26.055555555556,328,9,-0.25844291603565,0.033171407248825,152864.17974257
53,-28.055555555556,337,9,-0.20742945981026,0.03217628205684,155907.42605758
54,-26.85,347,10,-0.22025959646702,0.034844072170556,158945.75263953
55,-29.333333333333,369,9,-0.19502455461025,0.034335268455092,161993.8620522
56,-27.611111111111,334,9,-0.19381985235214,0.03531576907495,165028.32910323
57,-28.3125,338,8,-0.20123857879639,0.033415464806138,168068.62531328
58,-27.222222222222,347,9,-0.21830435657501,0.032280782226182,171106.50689602
59,-28.5,367,9,-0.1951986335516,0.033280624641455,174149.95089102
60,-27.277777777778,342,9,-0.19836646234989,0.029407955253031,177187.28591776
61,-27.45,343,10,-0.21108313941956,0.03160761183966,180230.49803877
62,-27.15,348,10,-0.20018597757816,0.033951800141484,183269.95338082
63,-27.555555555556,318,9,-0.18895139217377,0.03070913996594,186314.83098292
64,-28,318,8,-0.18499350523949,0.029948033646564,189352.4879508
65,-27.8125,319,8,-0.19815232717991,0.030979598897276,192396.61688399
66,-29,331,8,-0.2042354580164,0.034979876468889,195436.35396481
67,-25.777777777778,340,9,-0.18630485057831,0.029006195977097,198481.27222991
68,-27.222222222222,347,9,-0.16837375974655,0.031752511370927,201521.16469193
69,-27.666666666667,343,9,-0.17215054941177,0.032913396080025,204565.77418089
70,-27.666666666667,326,9,-0.16846440696716,0.030616780133918,207606.91884899
71,-28.388888888889,350,9,-0.16197844016552,0.02940061276406,210652.6123538
72,-28.3125,331,8,-0.16286637437344,0.030343113770243,213691.91739488
73,-28.166666666667,322,9,-0.17059023880959,0.028513457268826,216737.55602193
74,-28.4375,306,8,-0.16656371164322,0.029049847560003,219778.28505278
75,-28.555555555556,355,9,-0.17663783371449,0.028326682368293,222824.99759769
76,-25.5625,308,8,-0.16812364423275,0.028427452790784,225863.61633468
77,-28,313,8,-0.17012423825264,0.029179202558938,228906.90767956
78,-25.6,330,10,-0.15948258709908,0.029502675250173,231945.58412576
79,-27.15,340,10,-0.17163393580914,0.031709079549648,234990.06086373
80,-28.9375,309,8,-0.17488246464729,0.029555166413484,238032.13610172
81,-28.357142857143,305,7,-0.16523126077652,0.028102440752089,241078.97931576
82,-28.055555555556,349,9,-0.17386763191223,0.029353871364699,244120.02995491
83,-28.375,313,8,-0.19983051693439,0.031149187764386,247165.05484152
84,-26.625,307,8,-0.17532221388817,0.029301581036765,250204.44619155
85,-25.75,291,8,-0.17028263640404,0.028546538640745,253247.87504554
86,-27.714285714286,287,7,-0.16522393465042,0.031246546869166,256287.07864952
87,-26.5,289,8,-0.15511447227001,0.033023809224367,259332.19374633
88,-28.125,304,8,-0.15494792342186,0.029552731960081,262373.06913757
89,-24.5625,286,8,-0.14808536505699,0.027394249363802,265416.93225241
90,-27.5,292,8,-0.1341061425209,0.028037310602143,268457.4805975
91,-28.0625,287,8,-0.132041872859,0.028428069008514,271504.65070438
92,-29.5,293,7,-0.13780510485172,0.029911585349124,274544.11319828
93,-28.357142857143,291,7,-0.12779329800606,0.028778882302344,277592.01316142
