training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
15;4;106;83;36;21512;-6;6
15;5;118;103;40;12548;-2;2
15;6;127;101;38;12156;4;-4
15;7;115;98;41;17376;-1;1
15;8;97;80;33;11284;-9;9
15;9;144;111;39;15572;-3;3
15;10;102;82;35;13984;-7;7
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
16;1;117;96;36;5872;-6;6
16;2;116;98;40;11988;-2;2
16;3;136;126;41;12100;-1;1
16;4;138;134;36;8708;6;-6
16;5;146;134;39;4612;3;-3
16;6;138;119;38;16116;4;-4
16;7;125;106;33;10644;-9;9
16;8;135;115;40;8580;-2;2
16;9;123;130;40;17756;2;-2
16;10;117;100;34;8300;-8;8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
17;1;138;130;38;3204;-4;4
17;2;135;117;34;2672;-8;8
17;3;141;117;35;5088;-7;7
17;4;173;134;40;7072;-2;2
17;5;147;134;37;2296;-5;5
17;6;125;85;28;1720;-14;14
17;7;153;130;41;3340;-1;1
17;8;170;150;36;2232;-6;6
17;9;141;116;32;2604;-10;10
17;10;145;103;40;3164;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
18;1;147;138;41;18516;-1;1
18;2;130;129;33;19128;9;-9
18;3;147;143;37;25000;5;-5
18;4;126;123;33;17632;-9;9
18;5;141;137;38;13704;-4;4
18;6;130;129;39;15436;3;-3
18;7;145;141;36;13900;-6;6
18;8;144;151;38;20352;4;-4
18;9;112;108;32;29992;10;-10
18;10;117;101;33;20784;9;-9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
19;1;138;148;40;20020;-2;2
19;2;96;105;29;12532;-13;13
19;3;141;156;41;22020;1;-1
19;4;132;144;38;22844;-4;4
19;5;141;151;40;31536;-2;2
19;6;90;103;31;23992;-11;11
19;7;98;110;33;24648;-9;9
19;8;129;127;38;17148;-4;4
19;9;84;101;27;9076;-15;15
19;10;151;165;40;25240;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
20;1;152;170;39;19016;-3;3
20;2;130;157;40;29884;2;-2
20;3;133;121;34;16636;-8;8
20;4;145;144;37;15840;-5;5
20;5;142;135;35;11808;7;-7
20;6;147;147;36;13408;6;-6
20;7;141;155;38;19188;4;-4
20;8;172;172;40;15468;-2;2
20;9;130;125;38;17420;4;-4
20;10;146;153;40;22900;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
21;1;118;109;30;6372;-12;12
21;2;179;187;37;4628;-5;5
21;3;141;121;36;7680;-6;6
21;4;140;137;30;8044;-12;12
21;5;130;102;33;4228;-9;9
21;6;189;152;36;8964;6;-6
21;7;154;148;35;3264;-7;7
21;8;158;132;34;8640;-8;8
21;9;141;127;36;6260;-6;6
21;10;195;183;41;4104;-1;1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;1;119;110;28;4440;-14;14
22;2;159;153;38;10568;-4;4
22;3;167;175;37;8996;5;-5
22;4;134;125;33;5712;-9;9
22;5;143;143;33;4704;-9;9
22;6;160;160;36;7524;-6;6
22;7;129;112;32;4752;-10;10
22;8;165;157;37;9220;-5;5
22;9;114;116;32;4400;-10;10
22;10;115;98;27;5212;-15;15
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;151;161;41;21180;1;-1
23;2;179;194;41;23028;1;-1
23;3;153;163;37;13176;5;-5
23;4;181;169;36;22892;-6;6
23;5;157;171;38;20624;4;-4
23;6;92;97;27;4868;-15;15
23;7;149;147;38;19024;-4;4
23;8;144;136;35;16700;-7;7
23;9;121;135;33;10228;-9;9
23;10;151;166;39;15280;3;-3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
24;1;177;165;40;8012;-2;2
24;2;199;184;39;6704;-3;3
24;3;124;113;28;3636;-14;14
24;4;192;170;38;4132;4;-4
24;5;135;114;31;3236;-11;11
24;6;160;152;32;8488;-10;10
24;7;102;109;30;4744;-12;12
24;8;188;169;41;2784;-1;1
24;9;137;136;33;6708;-9;9
24;10;127;138;32;4724;-10;10
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
25;1;167;165;36;26504;-6;6
25;2;153;159;33;36640;9;-9
25;3;164;153;39;31516;3;-3
25;4;161;192;37;28880;-5;5
25;5;182;196;40;27920;-2;2
25;6;144;163;31;22732;-11;11
25;7;134;148;29;28784;13;-13
25;8;134;143;31;17756;-11;11
25;9;132;148;32;25996;-10;10
25;10;166;176;37;18268;-5;5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
26;1;143;136;35;3664;-7;7
26;2;162;117;38;7104;-4;4
26;3;154;159;41;11412;-1;1
26;4;175;158;39;4204;3;-3
26;5;154;156;41;9564;-1;1
26;6;132;107;32;6780;10;-10
26;7;162;143;38;10040;4;-4
26;8;182;133;38;8456;4;-4
26;9;186;154;38;9376;-4;4
26;10;156;165;37;4140;5;-5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
27;1;186;200;36;13276;6;-6
27;2;141;141;31;14052;-11;11
27;3;197;198;41;18736;-1;1
27;4;157;175;39;24032;-3;3
27;5;146;152;34;11876;-8;8
27;6;155;146;36;15112;-6;6
27;7;169;146;35;17556;-7;7
27;8;186;174;37;22184;-5;5
27;9;170;183;40;34332;2;-2
27;10;170;160;39;16204;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
28;1;172;174;36;11364;-6;6
28;2;188;201;38;10088;4;-4
28;3;197;177;40;17744;2;-2
28;4;194;167;39;7600;-3;3
28;5;185;179;37;12008;5;-5
28;6;150;129;32;5896;-10;10
28;7;193;200;40;12448;2;-2
28;8;188;162;36;12592;-6;6
28;9;190;175;38;21064;-4;4
28;10;190;219;40;10068;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
29;1;167;181;36;8712;-6;6
