Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-25.361111111111,538,18,-0.072490512907505,0.043983233086765,0
2,-24.645833333333,975,36,-0.20906020247936,0.040538462430239,2186.6956188679
3,-23.462962962963,763,27,-0.34102826303244,0.050361603617668,5143.9787406921
4,-26.701923076923,806,26,-0.38630688905716,0.060823554158211,8060.2602057457
5,-20.875,536,20,-0.45991239535809,0.049371261417866,10993.165904045
6,-24.657894736842,565,19,-0.47166735374928,0.047236926436424,13924.043767929
7,-26.42,798,25,-0.67024467861652,0.044404026508331,16886.313650131
8,-26.302083333333,738,24,-0.8368490011692,0.035886701583862,19859.053290844
9,-18.708333333333,586,24,-0.90395828974247,0.047305835902691,22857.941921949
10,-27.533333333333,477,15,-0.89970463836193,0.050957634568214,25862.140412092
11,-30,485,14,-0.89332508134842,0.045951869487762,28870.828700781
12,-31.916666666667,462,12,-0.93182483315468,0.036860603451729,31874.904168844
13,-28.916666666667,511,15,-0.94519159603119,0.036380408465862,34886.946368933
14,-22.882352941176,498,17,-0.86704669308662,0.039828357458115,37892.47597599
15,-33.479166666667,478,12,-0.8179896132946,0.041033929169178,40900.977365971
16,-29.1,500,15,-0.76519294893742,0.040422566533089,43912.543034077
17,-27.865384615385,450,13,-0.73373357069492,0.04145771497488,46925.986406803
18,-32.227272727273,431,11,-0.68827691107988,0.042441429436207,49931.085338831
19,-32.568181818182,426,11,-0.64362387007475,0.039246311545372,52942.669503927
20,-31.159090909091,409,11,-0.62212976509333,0.042370265513659,55948.825354815
21,-31.318181818182,409,11,-0.62780944466591,0.04095797252655,58959.904346704
22,-31.175,386,10,-0.64799384015799,0.041949056833982,61960.115125895
23,-29.3125,401,12,-0.63153793668747,0.038014193803072,64969.215221882
24,-32.85,405,10,-0.61160718584061,0.0407093937397,67972.901220083
25,-31.6,389,10,-0.54318004840612,0.040267921507359,70986.060634851
26,-31.475,364,10,-0.50827405589819,0.039844859868288,73989.810100794
27,-31.725,378,10,-0.50263272494078,0.037514119774103,77001.677194834
28,-29.590909090909,366,11,-0.49180660951138,0.036284853935242,80005.649372816
29,-32.55,387,10,-0.4952294319272,0.037695381969213,83016.965177536
30,-31.2,353,10,-0.47816119736433,0.035621458858252,86021.561295748
31,-33.5,372,9,-0.45298232018948,0.038231172889471,89030.764553785
32,-30.340909090909,384,11,-0.42992971611023,0.035403438821435,92035.834288836
33,-30.340909090909,383,11,-0.45601223194599,0.037193160772324,95046.56549263
34,-33.166666666667,342,9,-0.44664951807261,0.034606816664338,98048.316300631
35,-28.295454545455,346,11,-0.40726531481743,0.033411396861076,101058.00043178
36,-30.305555555556,341,9,-0.43189360892773,0.034108463048935,104061.48553562
37,-30.666666666667,317,9,-0.37965155059099,0.031522138491273,107071.83384752
38,-30.75,318,9,-0.36997312706709,0.03294818122685,110075.5357635
39,-33.75,71,1,-0.37015614557266,0.033289572909474,113086.53150535
