Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-16.175,568,20,-0.039221713870764,0.029145060969517,0
2,-5.25,1808,86,-0.08608803910017,0.024464469596744,2145.1178991795
3,-7.89,595,25,-0.16516388082504,0.036043447315693,5047.8407013416
4,-17.1375,563,20,-0.21209482467175,0.024275738954544,7975.1648442745
5,-13.725,559,20,-0.25724805343151,0.023471528768539,10931.119163036
6,-18.09375,882,32,-0.28720419490337,0.039458050966263,13900.719771862
7,-5.25,1807,86,-0.29875303316116,0.035284322023392,16899.678385973
8,-5.9309210526316,1643,76,-0.30827509558201,0.027181980490685,19909.909010172
9,-17.652173913043,554,23,-0.34414884364605,0.023285815060139,22939.618853092
10,-24.25,493,14,-0.45101404255629,0.026651228666306,25973.788203239
11,-17.8,566,20,-0.52390958654881,0.029277494549751,29014.436220407
12,-18.814814814815,729,27,-0.54987085461617,0.039004881381989,32054.2854774
13,-22.7625,569,20,-0.54759183239937,0.037574471831322,35099.126308441
14,-21.826086956522,573,23,-0.5414869966507,0.031009385406971,38136.861510515
15,-23.363636363636,687,22,-0.53737711763382,0.029484157204628,41182.874017715
16,-21.93,647,25,-0.55663867473602,0.028866673767567,44221.490203857
17,-20.539473684211,672,19,-0.55051146292686,0.029257072925568,47265.278861761
18,-21.64,597,25,-0.5600018157959,0.028754609167576,50302.363017797
19,-22.836538461538,755,26,-0.528419293046,0.032014802247286,53345.915400743
20,-19.066666666667,500,15,-0.55494042682648,0.039873561859131,56382.528666735
21,-23.796875,554,16,-0.60025869548321,0.029821652859449,59421.726590633
22,-21.967391304348,581,23,-0.60584501338005,0.032700836449862,62458.533436537
23,-22.736111111111,504,18,-0.61955435323715,0.033058366805315,65503.937287807
24,-24.214285714286,528,14,-0.56297829425335,0.035921178489923,68542.928196669
25,-21.807692307692,463,13,-0.56452477037907,0.03643785020709,71586.370691776
26,-17.3,492,15,-0.51090985023975,0.035625722199678,74622.337754726
27,-20.346153846154,444,13,-0.43836925184727,0.03375756187737,77666.558803558
28,-22.55,399,10,-0.43404640996456,0.031462731868029,80709.149359703
29,-23.2,396,10,-0.41233416175842,0.035647051796317,83754.154893875
30,-23.431818181818,415,11,-0.38006203866005,0.032858549267054,86794.799460888
31,-23.125,403,10,-0.35445768916607,0.031531541958451,89839.270530939
32,-23,391,10,-0.30434643936157,0.034153116598725,92875.915857077
33,-22.75,396,10,-0.28986469483376,0.035212990507483,95919.116505146
34,-24.575,382,10,-0.26612943577766,0.032227400070056,98955.592324972
35,-23.25,392,13,-0.26001595187187,0.033032483366318,102001.58251119
36,-24.8,382,10,-0.27397701132298,0.041171750120819,105041.78489709
37,-24.229166666667,409,12,-0.25113397979736,0.033362254701555,108088.16415405
38,-22.725,389,10,-0.26228211903572,0.032622256435454,111126.96911716
39,-23.840909090909,367,11,-0.23275652563572,0.032861182622612,114174.376688
40,-24.472222222222,367,9,-0.23278466582298,0.028766998458654,117212.66692805
41,-24.333333333333,353,9,-0.23536169910431,0.031785745821893,120277.53845716
42,-22.75,365,9,-0.23552758347988,0.029502598330379,123339.66571617
43,-24.25,364,10,-0.26656704473495,0.032324158191681,126401.14022613
44,-23.575,352,10,-0.23555584084988,0.028791207253933,129460.99070621
45,-24.3,354,10,-0.21958861577511,0.032881412982941,132517.0496223
46,-23.875,352,10,-0.21235245406628,0.032139036647975,135574.30851746
47,-23.5,370,10,-0.19236077666283,0.029558058961295,138640.52359223
48,-24.5,333,9,-0.20597528707981,0.029206026017666,141701.27262425
49,-24.6,354,10,-0.2066180062294,0.032127544768155,144765.86236525
50,-24.472222222222,329,9,-0.20180555462837,0.030132573431358,147825.13783622
51,-24.916666666667,368,9,-0.17858661842346,0.031521749011008,150881.76423216
52,-22.416666666667,358,9,-0.18114964962006,0.028377236567438,153922.41813803
