Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-23.638888888889,538,18,-0.076300442874432,0.022210254736245,0
2,-22.652777777778,975,36,-0.20910819244385,0.037740057915449,2186.6956188679
3,-25.018518518519,763,27,-0.29440442609787,0.033846525788307,5143.9787406921
4,-27.076923076923,806,26,-0.36830009394884,0.031687710165977,8060.2602057457
5,-24.7125,536,20,-0.42048484563828,0.030921404659748,10993.165904045
6,-26.184210526316,565,19,-0.44862747120857,0.02295475679636,13924.043767929
7,-27.06,798,25,-0.45987945604324,0.046040964007378,16886.313650131
8,-27.364583333333,738,24,-0.60870162284374,0.036611400663853,19859.053290844
9,-23.21875,586,24,-0.72161855995655,0.043433759629726,22857.941921949
10,-26.716666666667,477,15,-0.80204757285118,0.046846289932728,25862.140412092
11,-27.75,485,14,-0.87591670572758,0.046399735748768,28870.828700781
12,-32.25,462,12,-0.84105686855316,0.048415952503681,31874.904168844
13,-28.483333333333,511,15,-0.88264128386974,0.050396474421024,34886.946368933
14,-25.911764705882,498,17,-0.85376331812143,0.049090953946114,37892.47597599
15,-33.604166666667,478,12,-0.78631068700552,0.04331736767292,40900.977365971
16,-26.55,500,15,-0.8117224650979,0.047274400949478,43912.543034077
17,-29.884615384615,450,13,-0.75130813622475,0.046523872107267,46925.986406803
18,-30.931818181818,431,11,-0.70990008467436,0.047085694253445,49931.085338831
19,-31.386363636364,426,11,-0.67494188535213,0.051118548631668,52942.669503927
20,-31.363636363636,409,11,-0.61583080053329,0.05061946041882,55948.825354815
21,-31.045454545455,409,11,-0.63340975236893,0.046496510267258,58959.904346704
22,-31.125,386,10,-0.61938079178333,0.048302852004766,61960.115125895
23,-26.833333333333,401,12,-0.57956012880802,0.045557454437017,64969.215221882
24,-31.725,405,10,-0.57388616657257,0.042052730664611,67972.901220083
25,-31.4,389,10,-0.55690942966938,0.043459583997726,70986.060634851
26,-32.05,364,10,-0.52052833580971,0.042772741958499,73989.810100794
27,-30.05,378,10,-0.55467279326916,0.04079218006134,77001.677194834
28,-27.204545454545,366,11,-0.52854806387424,0.039443639472127,80005.649372816
29,-32.2,387,10,-0.5128398822546,0.046757966935635,83016.965177536
30,-29.7,353,10,-0.51571522152424,0.041348322689533,86021.561295748
31,-33,372,9,-0.47305118322372,0.039770552426577,89030.764553785
32,-28.204545454545,384,11,-0.47214948761463,0.039172153562307,92035.834288836
33,-28.204545454545,383,11,-0.48250582051277,0.038805350989103,95046.56549263
34,-32.555555555556,342,9,-0.45795393610001,0.040564007893205,98048.316300631
35,-25.477272727273,346,11,-0.43811597204208,0.037063229829073,101058.00043178
36,-28.222222222222,341,9,-0.43723630094528,0.039245445668697,104061.48553562
37,-28.638888888889,317,9,-0.40992476308346,0.039703103244305,107071.83384752
38,-28.75,318,9,-0.39562004256248,0.038957252174616,110075.5357635
39,-34.5,71,1,-0.4091499683857,0.04159224717319,113086.53150535
40,-32.28125,326,8,-0.38256030893326,0.039972961835563,116090.10022855
41,-32.166666666667,124,3,-0.38514577686787,0.039020979493856,119421.41163158
42,-27.825,330,10,-0.36952814185619,0.039601823613048,122424.18346953
43,-30.277777777778,339,9,-0.33895096290112,0.038525839082897,125772.4054985
44,-31.40625,314,8,-0.30893093621731,0.043579260528088,128778.55767441
45,-30.05,211,5,-0.31032728052139,0.038219685960561,131797.60789633
46,-26.638888888889,309,9,-0.31375127208233,0.039801095878705,134810.36327124
47,-29.5,146,4,-0.30605576121807,0.039177644534037,137824.67421055
48,-34.75,68,1,-0.29668178117275,0.037509484756738,140831.08591938
49,-28.65625,296,8,-0.28063797318935,0.038017213487183,144191.69427252
50,-23.55,302,10,-0.29145413684845,0.036978968207724,147518.62779856
51,0,18,0,-0.30253720629215,0.037508682314306,150530.60716558
52,-20.365384615385,340,13,-0.31673013246059,0.039473259679973,153534.79660559
53,-29.472222222222,319,9,-0.30507120347023,0.039083184284857,156856.6384356
54,-30.71875,301,8,-0.32299732613564,0.039318588388618,159860.17959857
55,-33.083333333333,232,6,-0.30574337148666,0.03930441428721,162870.00658154
56,-31.75,75,2,-0.26943367946148,0.038389642325696,165875.1232717
57,-25.75,63,1,-0.29349414813519,0.040556800194085,168885.99810672
58,-29.75,60,1,-0.26190383887291,0.040317027541576,172218.79089355
59,-25.607142857143,248,7,-0.28107744503021,0.037074081572704,175549.30480981
60,-32.8125,183,4,-0.28633328521252,0.038325544532621,178874.36576605
61,-28.638888888889,320,9,-0.29417511403561,0.040091431350796,181885.77301884
62,-33.333333333333,252,6,-0.3082761951685,0.035549969521817,185254.11523771
63,0,14,0,-0.30291535997391,0.039185416496592,188260.72279978
64,0,33,0,-0.28198368656635,0.039033894503489,191264.31220865
65,-30.75,73,1,-0.29362903082371,0.037557865014765,194589.37371063
66,0,8,0,-0.29042878937721,0.038667260578834,197905.63247156
67,0,3,0,-0.27726606762409,0.040376132492442,201241.23523951
68,0,23,0,-0.27556163322926,0.03796606781357,204570.16138959
69,0,25,0,-0.26380622148514,0.038813130780589,207898.94440961
70,0,24,0,-0.25074782848358,0.039442212552065,211212.92588282
71,0,23,0,-0.26415069246292,0.037162183612119,214534.92938876
72,0,28,0,-0.24598632061481,0.035587953363545,217852.58896804
73,0,25,0,-0.23496468520164,0.034094740736298,221175.35661483
74,0,2,0,-0.06339707005024,0.012024031210691,0
75,0,24,0,-0.049309525609016,0.011475357543677,3088.7013101578
76,0,31,0,-0.064929412841797,0.0054287538081408,6484.3664441109
77,0,14,0,-0.03597069299221,0.0084899807134643,9884.4526801109
78,0,4,0,-0.061104599714279,0.00881176754646,13286.82313323
79,0,3,0,-0.040435548424721,0.011722168928245,16687.041050196
80,-25.75,42,1,-0.061893253684044,0.0063548600003123,20075.511769056
81,0,12,0,-0.060571636557579,0.0063034011647105,23467.8783319
82,0,29,0,-0.046231790304184,0.0077133087422699,26889.402276039
83,-30.25,104,2,-0.04703515458107,0.0066463901363313,30276.864155054
84,0,19,0,-0.056143177986145,0.0069983780905604,33662.315178871
85,0,14,0,-0.060523453950882,0.0083119358383119,37070.251556873
86,0,25,0,-0.067056619644165,0.0086954936347902,40456.662666798
87,0,5,0,-0.073424149274826,0.0095384493693709,43848.04116559
88,0,4,0,-0.077736559987068,0.01047250238061,47236.721823931
89,0,28,0,-0.085833152770996,0.0095797918885946,50619.399893999
90,0,16,0,-0.088758627295494,0.010200283706188,54008.238905907
91,0,31,0,-0.09612058031559,0.0097643999308348,57404.922699928
92,0,29,0,-0.10194111466408,0.01024840850383,60801.89738965
93,0,36,0,-0.10280153274536,0.010195922710001,64197.301470757
94,-25.75,55,1,-0.10818971896172,0.010437131211162,67600.325003862
95,-34.5,71,1,-0.10908329343796,0.010252255931497,70996.882015944
96,0,31,0,-0.11561119067669,0.010407142475247,74406.138037682
97,-31.25,90,2,-0.11828568589687,0.010675818577409,77814.147450924
98,-36,81,1,-0.12300767707825,0.011537417605519,81205.20250082
